Index;CocaCola;Citigroup;Walmart;Nike
13/12/2006;24.42;523.200012;45.900002;11.98125
14/12/2006;24.5;531.099976;46.52;12.125
15/12/2006;24.465;540.700012;46.450001;12.00625
18/12/2006;24.450001;554.400024;46.369999;12.0225
19/12/2006;24.385;552.299988;46.09;12.02375
20/12/2006;24.375;551.599976;45.869999;12.4725
21/12/2006;24.33;547.599976;45.709999;12.53625
22/12/2006;24.190001;545.5;45.540001;12.4925
26/12/2006;24.275;551.200012;46.110001;12.5125
27/12/2006;24.344999;564.099976;46.16;12.44
28/12/2006;24.27;558.799988;46.009998;12.4
29/12/2006;24.125;557;46.18;12.37875
03/01/2007;24.290001;552.5;47.549999;12.20875
04/01/2007;24.299999;550.599976;47.779999;12.33375
05/01/2007;24.129999;547.700012;47.389999;12.35375
08/01/2007;24.285;550.5;47;12.31625
09/01/2007;24.305;545.700012;47.389999;12.47
10/01/2007;24.34;541.299988;47.279999;12.47
11/01/2007;24.370001;541.700012;47.599998;12.4975
12/01/2007;24.275;543.799988;47.98;12.47
16/01/2007;24.25;547.700012;48.310001;12.49625
17/01/2007;24.299999;543.900024;48.200001;12.4775
18/01/2007;24.174999;543.900024;48.389999;12.45875
19/01/2007;24.129999;545;48.310001;12.4925
22/01/2007;24.014999;546.799988;47.959999;12.2125
23/01/2007;24.059999;544.900024;47.810001;12.095
24/01/2007;24.065001;548.299988;48.610001;12.105
25/01/2007;23.969999;539.299988;48.150002;11.98
26/01/2007;23.915001;546.700012;47.669998;11.9
29/01/2007;23.855;540.599976;47.630001;12.04
30/01/2007;23.905001;542.700012;47.279999;12.21875
31/01/2007;23.940001;551.299988;47.689999;12.35125
01/02/2007;24.049999;547.299988;47.779999;12.585
02/02/2007;24.120001;546.599976;48.080002;12.525
05/02/2007;23.950001;547.5;48.52;12.4275
06/02/2007;24.025;549.5;48.580002;12.64625
07/02/2007;24.014999;549.5;48.580002;12.8625
08/02/2007;23.93;544.400024;48.310001;12.92375
09/02/2007;23.879999;534;47.970001;12.95
12/02/2007;23.959999;534.299988;47.740002;13.04625
13/02/2007;24.105;537.099976;47.98;13.15
14/02/2007;23.940001;541.799988;47.869999;13.1725
15/02/2007;23.924999;542.099976;48.360001;13.18875
16/02/2007;23.934999;541;48.48;13.2875
20/02/2007;23.889999;541.900024;50.259998;13.35125
21/02/2007;23.785;537.5;49.970001;13.38875
22/02/2007;23.65;535.900024;49.689999;13.52875
23/02/2007;23.629999;537.700012;49.57;13.505
26/02/2007;23.860001;526.799988;49.98;13.47875
27/02/2007;23.195;506;48.200001;12.99625
28/02/2007;23.34;503.700012;48.310001;13.05875
01/03/2007;23.26;510.799988;47.889999;13.16125
02/03/2007;22.945;499.700012;47.810001;12.9825
05/03/2007;23.145;492.5;47.470001;12.8075
06/03/2007;23.465;505.799988;48.040001;13.1375
07/03/2007;23.375;502.200012;47.93;13.07375
08/03/2007;23.575001;505;47.880001;13.075
09/03/2007;23.785;503.299988;47.419998;13.23125
12/03/2007;23.975;503.600006;47.259998;13.2
13/03/2007;23.530001;487.5;46.18;13.075
14/03/2007;23.52;490.799988;45.73;13.1025
15/03/2007;23.540001;501.299988;46;13.2075
16/03/2007;23.605;495.299988;46.209999;13.43375
19/03/2007;23.665001;500.600006;46.59;13.54
20/03/2007;23.809999;506.399994;47.299999;13.65625
21/03/2007;24.129999;520.299988;47.77;13.60625
22/03/2007;24.125;518.400024;48.009998;13.575
23/03/2007;24.025;517.200012;47.91;13.63125
26/03/2007;24.075001;515.400024;47.84;13.59875
27/03/2007;24.01;510.600006;47.490002;13.32125
28/03/2007;23.955;509.600006;46.639999;13.14125
29/03/2007;24.055;514;46.720001;13.12125
30/03/2007;24;513.400024;46.950001;13.2825
02/04/2007;24.26;510.5;47.400002;13.30375
03/04/2007;24.495001;514.099976;48.099998;13.3
04/04/2007;24.73;513.599976;48.049999;13.3975
05/04/2007;24.76;515.700012;48.27;13.37
09/04/2007;24.815001;515.799988;48.470001;13.475
10/04/2007;25.040001;524;47.939999;13.5025
11/04/2007;24.82;518;47.27;13.4975
12/04/2007;24.834999;516.5;47.259998;13.5575
13/04/2007;24.940001;516;47.41;13.4125
16/04/2007;25.135;529.299988;48.07;13.5925
17/04/2007;25.785;525.299988;48.169998;13.5375
18/04/2007;25.83;529.900024;47.970001;13.4725
19/04/2007;25.875;530.900024;48.34;13.37
20/04/2007;26.045;534.200012;49.759998;13.3825
23/04/2007;25.825001;531.099976;48.93;13.39
24/04/2007;25.855;528.099976;48.689999;13.3775
25/04/2007;25.870001;538;48.810001;13.405
26/04/2007;26.040001;535.599976;48.700001;13.46
27/04/2007;26.030001;533.700012;48.34;13.53
30/04/2007;26.094999;536.200012;47.919998;13.465
01/05/2007;26.315001;542;48.330002;13.2475
02/05/2007;26.355;543;48.279999;13.37
03/05/2007;26.455;539.5;48.360001;13.32
04/05/2007;26.605;540.900024;48.27;13.3225
07/05/2007;26.805;538.799988;48.610001;13.4675
08/05/2007;26.535;537.200012;48.099998;13.4375
09/05/2007;26.555;541.200012;47.93;13.48
10/05/2007;26.24;532;47.75;13.3275
11/05/2007;26.344999;531.099976;47.779999;13.2575
14/05/2007;26.299999;528.599976;47.84;13.2175
15/05/2007;26.23;527.900024;47.619999;13.145
16/05/2007;26.370001;549.099976;47.18;13.2475
17/05/2007;26.1;548;47.110001;13.2375
18/05/2007;26.315001;550;47.27;13.3125
21/05/2007;25.955;548.400024;46.619999;13.67
22/05/2007;25.74;550.799988;46.540001;13.7825
23/05/2007;25.665001;550.099976;46.330002;13.705
24/05/2007;25.620001;549.299988;46.650002;13.6175
25/05/2007;25.945;551.200012;46.91;13.57
29/05/2007;26.09;549.099976;46.939999;13.68
30/05/2007;26.525;552;47.119999;13.9325
31/05/2007;26.495001;544.900024;47.599998;14.1875
01/06/2007;26.4;545.099976;49.470001;14.1725
04/06/2007;26.334999;541.5;51.209999;14.3075
05/06/2007;26.16;539;50.52;14.2225
06/06/2007;26;533.299988;50.75;13.9275
07/06/2007;25.690001;525.200012;49.759998;13.525
08/06/2007;25.834999;533.299988;50.080002;13.24
11/06/2007;25.815001;534.700012;49.810001;13.35
12/06/2007;25.57;526;48.91;13.2975
13/06/2007;25.68;536.799988;49.5;13.37
14/06/2007;25.655001;536.700012;49.279999;13.42
15/06/2007;25.790001;539.799988;49.34;13.355
18/06/2007;25.879999;539.599976;49.110001;13.4075
19/06/2007;25.695;542.599976;48.810001;13.625
